id,start,end,label,category,region,certainty,uncertainty,source,link
gvp-17077,1914-01-12,1915-05-16,Aira eruption (VEI 4),nature,ASIA_EAST,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=282080
gvp-17095,2650 BC,,Kirishimayama eruption (VEI 4),nature,ASIA_EAST,approx,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=282090
gvp-17100,788-04-18,,Kirishimayama eruption (VEI 4),nature,ASIA_EAST,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=282090
gvp-17112,1235-01-25,,Kirishimayama eruption (VEI 4),nature,ASIA_EAST,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=282090
gvp-17357,2440 BC,,Kujusan eruption (VEI 4),nature,ASIA_EAST,approx,300,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=282120
gvp-17359,990 BC,,Kujusan eruption (VEI 4),nature,ASIA_EAST,approx,940,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=282120
gvp-17360,100 BC,,Kujusan eruption (VEI 4),nature,ASIA_EAST,approx,300,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=282120
gvp-17366,200 BC,,Yufu-Tsurumi eruption (VEI 4),nature,ASIA_EAST,approx,50,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=282130
gvp-17371,1920 BC,,Sanbesan eruption (VEI 4),nature,ASIA_EAST,approx,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=283002
gvp-17374,2100 BC,,Izu-Tobu eruption (VEI 4),nature,ASIA_EAST,approx,100,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=283010
gvp-17376,1150 BC,,Izu-Tobu eruption (VEI 4),nature,ASIA_EAST,approx,50,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=283010
gvp-17409,1350 BC,,Fujisan eruption (VEI 5),nature,ASIA_EAST,approx,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=283030
gvp-17411,1030 BC,,Fujisan eruption (VEI 4),nature,ASIA_EAST,approx,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=283030
gvp-17413,930 BC,,Fujisan eruption (VEI 5),nature,ASIA_EAST,approx,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=283030
gvp-17433,800-04-11,802-02-06,Fujisan eruption (VEI 4),nature,ASIA_EAST,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=283030
gvp-17452,1707-12-16,1708-02-24,Fujisan eruption (VEI 5),nature,ASIA_EAST,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=283030
gvp-17465,200 BC,,Hakusan eruption (VEI 4),nature,ASIA_EAST,approx,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=283050
gvp-17491,350 BC,,Yakedake eruption (VEI 4),nature,ASIA_EAST,approx,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=283070
gvp-17536,887,,Niigata-Yakeyama eruption (VEI 4),nature,ASIA_EAST,approx,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=283090
gvp-17558,2750 BC,,Myokosan eruption (VEI 4),nature,ASIA_EAST,approx,100,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=283100
gvp-17576,838-08-02,,Kozushima eruption (VEI 4),nature,ASIA_EAST,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=284030
gvp-17580,2900 BC,,Miyakejima eruption (VEI 4),nature,ASIA_EAST,approx,500,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=284040
gvp-17585,950 BC,,Miyakejima eruption (VEI 4),nature,ASIA_EAST,approx,200,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=284040
gvp-17588,260,,Miyakejima eruption (VEI 4),nature,ASIA_EAST,approx,500,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=284040
gvp-17621,1933-01-08,1933-04-14,Kharimkotan eruption (VEI 5),nature,ASIA_EAST,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=290300
gvp-17635,1550,,Maly Semyachik eruption (VEI 4),nature,ASIA_EAST,approx,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=300140
gvp-17649,3200 BC,,Sheveluch eruption (VEI 4),nature,ASIA_EAST,approx,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=300270
gvp-17653,2620 BC,,Sheveluch eruption (VEI 5),nature,ASIA_EAST,approx,300,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=300270
gvp-17656,2200 BC,,Sheveluch eruption (VEI 4),nature,ASIA_EAST,approx,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=300270
gvp-17658,2100 BC,,Sheveluch eruption (VEI 5),nature,ASIA_EAST,approx,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=300270
